"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: boat landing cove"	"fc8e794c-b343-4d70-975b-2a1cfeec7a19"	19
"asteraceae"	"achyrachaena"	"mollis"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"e2f69f6a-d538-45df-87b9-1a20bdc7cb23"	1
"boraginaceae"	"amsinckia"	"menziesii"	"california"	"santa barbara"	"w slope of santa barbara island"	"13d849c8-5995-4f0e-b4bd-b22d3fb0ca0b"	4
"boraginaceae"	"amsinckia"	"menziesii"	"california"	"santa barbara"	"santa barbara island, head of cave canyon"	"176876f7-00c0-4fa8-8e42-bb8286692cab"	4
"boraginaceae"	"amsinckia"	"menziesii"	"california"	"santa barbara"	"santa barbara island, landing cove"	"767d0966-437e-40e0-a1cb-14771f27c67f"	4
"boraginaceae"	"amsinckia"	"menziesii"	"california"	"santa barbara"	"channel islands landing cove, santa barbara island"	"ee69a923-b6ec-42f4-b461-a33b081d7abf"	4
"primulaceae"	"anagallis"	"arvensis"	"california"	"santa barbara"	"santa barbara island: near nps ranger station"	"bf040446-8732-46fd-98af-bd6f62ce4003"	2
"primulaceae"	"anagallis"	"arvensis"	"california"	"santa barbara"	"santa barbara island: just n of lower cave cyn, (by helicopter landing pad)"	"f3850dde-df8b-4046-a832-5c39dd9f9ea0"	2
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island. forney cove"	"18856a14-00e7-417e-8281-b7618e38166e"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"1a342b3b-835c-4405-82f9-4b54a91f87ce"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"4772e3f2-8a7c-4309-b52d-e4f73eb7b03b"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: w-facing slope of cat cyn"	"480e9ea9-55ac-4b33-bcfc-f2f55c1c3bce"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: cliff cyn, just upslope from nps vegetation transect #12"	"4a8913aa-22c4-4d42-8d07-06bd61a0ef0a"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"ventura"	"flat terrace on west end of santa barbara island"	"5e805301-fad8-4e61-b078-6cf92fb7d0d8"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island, just above landing cove"	"6566b70d-1f41-4d4a-b155-45f8136fd353"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island. head of cave canyon."	"70e0a131-5fbf-476c-809a-7303684470d0"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: head of cave cyn"	"7d7071e2-46b3-4956-b620-9b80e04b8736"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: open slope just above landing cove"	"86095cf8-8990-4fce-8918-668a42e55bdb"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island, west end"	"b2874f8a-b9d2-4c46-9a23-f771d9b3b0cb"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"c4c5ad50-a8cf-4edd-8dac-249d1a51a871"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island. midway down cave canyon"	"c56a89d9-3815-4ffe-a466-453de3dd986c"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: graveyard cyn, at &quot;amphitheater&quot;"	"c8c86270-d1bb-4b41-b598-1dfe67df4468"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: s end of island, along trail on w side of cat cyn"	"cfc5cbdd-ebdc-4af7-b8f3-fc6e78e220a2"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"cave canyon, santa barbara island"	"d43d4517-bff3-493c-aded-96ee26461a08"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: landing cove"	"d9d9ac62-88b0-4def-ba80-67b0e453a9de"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: flat terrace, west end"	"f0615015-e9ca-4044-ade6-f72dea6b840c"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island."	"f711aa37-27b1-4e4c-9405-d6139746bf34"	20
"amaranthaceae"	"aphanisma"	"blitoides"	"california"	"santa barbara"	"santa barbara island: just s of graveyard cyn"	"fc686f2a-8c06-4e3f-803b-2465d50c9d8c"	20
"asteraceae"	"artemisia"	"californica"	"california"	"santa barbara"	"santa barbara island: sw slope of signal pk"	"1f64675d-8128-4a43-9760-95da613e73f2"	4
"asteraceae"	"artemisia"	"californica"	"california"	"santa barbara"	"santa barbara island channel islands, santa barbara islands"	"4d155702-140e-4fae-9868-425841b2791a"	4
"asteraceae"	"artemisia"	"californica"	"california"	"santa barbara"	"santa barbara island: signal pk"	"8e237796-ebe1-466a-ab46-5f6cce391279"	4
"asteraceae"	"artemisia"	"californica"	"california"	"santa barbara"	"santa barbara island: signal pk"	"b20fda5a-14f5-40ce-9cb5-6d25b1d8380e"	4
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island. east side, lower terrace slope"	"13520575-e3c7-4590-81a4-1fe05740212a"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"los angeles"	"east side, lower terrace, santa barbara island"	"1a5da6cc-9212-49a7-b210-4ed43551f4bf"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: s of landing cove"	"1df66d15-51b7-4ea1-a19a-3b57515c01a7"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island; rocky south-facing slope of middle canyon near its mouth."	"1f91fbdc-3b88-4939-ae09-35c020f4c26a"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island. top of cliff, just south of signal peak and opposite sutil island."	"24493e43-fbec-4283-88ca-4eccad868abd"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: terrace just n of n fork of graveyard cyn, near head of canyon"	"24954897-6ec8-4aa9-94bf-dd05b2564ed2"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: mouth of cave cyn, e side of island"	"2aea8894-eb46-4748-b487-2f6d78c60d31"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"los angeles"	"east side, lower terrace slope, santa barbara island"	"2d7428a0-168b-4432-bb90-0e20fb82f021"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: just s of signal pk and opposite sutil island"	"348194c9-4d85-412c-8725-036c03440568"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island."	"3c591d2e-1ee9-4cb4-8aff-aba49a4eba4f"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island. middle canyon near its mouth"	"3eb8a3b7-43af-4268-a571-3cc617364b8b"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: s of cave cyn, e side of the island"	"459f6485-242f-4084-a63b-d1ef9e2d8780"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"los angeles"	"santa barbara island: plateau near headwaters of middle canyon"	"46c6597d-e0a5-47bd-98f2-c36e36094085"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island. lower part of cave canyon"	"478929b0-09be-4435-8d6a-0e770b98cf62"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"channel islands santa barbara island, terrace just north of the north fork of graveyard canyon, near head of canyon"	"47ca5943-40a0-40e5-a5ea-2099f700a6c4"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: just s of signal pk and opposite sutil island"	"5259a3fb-d380-453f-a84e-1a7072133adf"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: n side of head of n fork of graveyard cyn"	"6830fa63-f4f0-443d-a88b-666748a77bcc"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island. near headwaters of middle canyon"	"7278f0b1-6bc1-4f51-950e-40448c436d6b"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: between cave cyn and middle cyn"	"8142454e-fd30-4a74-9e37-9a4139553fe5"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: s side of trail up from compound, ca. 50 m ne of cave cyn"	"8aa61e3b-a46c-42ea-8209-75935188becd"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island"	"9c36702d-71ce-4a9f-97b4-ab58d60ada5a"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: e side, lower terrace slope"	"9e6f1c82-d18c-457a-8f0d-deb476831c67"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"los angeles"	"santa barbara island"	"a591319d-0583-4168-a55c-995bb1d3ed63"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island; near headwaters of middle canyon."	"ad47d0da-1065-4706-a071-cf432105c56a"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island: near the middle of middle cyn"	"b3615eb8-3a4b-49a4-8f84-5a4dc59afb61"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"los angeles"	"santa barbara island: plateau near headwaters of middle canyon"	"baa08523-e8f1-4599-ac50-e5f9ea99d358"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island; mouth of cave canyon, east side of the island."	"d7580a3c-6c0f-40e7-ab71-78a9e66799e8"	28
"asteraceae"	"artemisia"	"nesiotica"	"california"	"santa barbara"	"santa barbara island; grassy p[lateau near headwaters of middle canyon."	"f2cbab14-8029-42f7-824d-2c92b8c9d40f"	28
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; signal hill"	"0323a996-02b9-45ea-8b5a-eea36d5fad28"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: just sw of head of cliff cyn"	"03b9d3e4-a95c-4b88-ab12-0839509fc0f8"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"west side of cliff summit, santa barbara island"	"0f01e3ec-45b1-4d56-85e6-79144b573689"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. arch point"	"1378e596-bc81-4ec6-9ca9-f250e9bdb196"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; northeast slope of north peak."	"1dcab394-230a-4b6a-ab2f-3423a8ccdfd2"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island channel islands, santa barbara island"	"1fa84886-3550-4276-8d3f-15c94a9c3db7"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. west side of cliff summit"	"23aacc85-62d4-43f5-8c1f-48d55c82195f"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara isl"	"2519b060-070e-4fae-9d5c-dca3714ececa"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: brink of south cliff"	"26a5a054-ddc7-485b-83b9-6b5d00e60c27"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. summit of bare slope,"	"323dccbf-f6ab-4810-8084-cfa3a81c29e1"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"brink of south cliff santa barbara island (santa barbara island); channel islands, santa barbara island"	"33041561-4dbb-4f1e-b312-0c7582aab7c1"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: top of signal pk"	"366d77f5-157c-404f-b4ec-8d0ef1bfcc75"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. brink of south cliff"	"3d72ef55-b6a9-4532-ae68-3219bdb93cfd"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: pebble terrace just n of cliff cyn"	"3f599cee-8949-4711-a5ed-51bd47831b84"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. mouth of cliff canyon"	"4194eae6-c92b-4770-a19e-901b67472d09"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; summit area, north peak."	"4a707061-5b94-45fd-8862-b4506b146dc6"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"arch point, santa barbara island"	"5026fd00-6d9f-45a6-8d63-74f7edc085e8"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; north ridge."	"516884e5-bab7-4d3b-8e98-735326a876ea"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. signal hill"	"5f9ce062-b874-4bd1-a8ce-94a97126d3bc"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"west side of cliff summit"	"7a4a121e-d49e-4864-b0da-b1d6869d06be"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. north ridge"	"7d7a913a-112c-4053-8ec3-a115b8f78876"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; arch point."	"83ae9f9f-e59c-49dc-8086-9584dafb3a9d"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: w side cliff summits"	"94934f89-e9a3-42e1-b51c-e4a0b8b976c7"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island"	"9cc33734-450a-4ca6-b550-686d73c69f24"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island."	"a5505d8c-699b-4099-939c-5e5db3846273"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: summit area, north pk"	"a917a211-b333-42d9-94dd-c549f9ff1619"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: arch point"	"bc033275-080d-4a9d-929f-73d59a83973d"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island."	"c976323c-fde1-48ab-97f8-f067b9ab38ab"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"los angeles"	"santa barbara island"	"c98826f9-a2aa-4f78-9130-ca3bda612203"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: head of cliff cyn at base of arch pt"	"cd8e6d74-f27b-494a-bace-138a75f5944b"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: signal hill"	"cf130d9d-261a-4965-8e53-cc28b287c9fb"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: bluff w of mouth of cliff cyn"	"d19b07e3-9f2b-4e21-9172-eb537fcf0180"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island; west side of cliff summit."	"d8b90ea9-872b-4c22-af66-921a669a5b52"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island"	"da6f8269-c9c5-41a6-8615-6c6774679b33"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"north ridge, santa barbara island"	"dc5a25b5-091c-4f56-b66d-f7381d591ee9"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island. ne slope of north peak"	"ebb89002-5cf8-4be6-bced-9fbb9ed58f6f"	37
"fabaceae"	"astragalus"	"traskiae"	"california"	"santa barbara"	"santa barbara island: north ridge"	"ec934bb7-c6f8-42ff-8283-716a030ce241"	37
"amaranthaceae"	"atriplex"	"pacifica"	"california"	"santa barbara"	"santa barbara island: s side of signal pk"	"329f359f-3e1f-4da6-bdd4-172c5817e008"	5
"amaranthaceae"	"atriplex"	"pacifica"	"california"	"santa barbara"	"santa barbara island: se side of signal pk, near foraminiferous shale outcrops"	"3b735a5c-1ded-4c1f-a320-bf63759d4d5b"	5
"amaranthaceae"	"atriplex"	"pacifica"	"california"	"santa barbara"	"santa barbara island: east terrace"	"aae5372d-07cf-4dfc-a66a-5605ad5bda46"	5
"amaranthaceae"	"atriplex"	"pacifica"	"california"	"santa barbara"	"santa barbara island: top of sea cliffs, along trail just se of signal pk"	"dc1b1d85-9f71-4cc8-b249-1bcd42f97e61"	5
"amaranthaceae"	"atriplex"	"pacifica"	"california"	"santa barbara"	"santa barbara island: n rim of graveyard cyn, at fork in canyon"	"fd98202b-6f50-4042-a98d-2984487fb6f3"	5
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island. near center of middle canyon."	"013b9173-ac38-412b-8eb2-3283aaf97801"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island; rocky slopes of cliff canyon."	"17a14000-6b69-4f65-aecf-97ab9189e7b0"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: shag rock"	"59625c57-8952-4e55-beb9-41ed541d9a66"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island. east coast."	"5d091cd2-cb63-4e65-a54c-89d249d6c5f1"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"5e2b73ab-ea5f-47a0-890d-034bff9c2c27"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: just n of landing cove, near shell mound"	"625a5a42-af8e-4b65-8350-5dcac077b61d"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"6911ac4e-e168-4897-9b3a-d6304e99139f"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: near center of middle cyn"	"778a0d57-175c-4b07-813c-db1abeb65317"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island. bluff due north of north peak."	"915b8e06-1e80-4179-b75c-58f6b5de023e"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: ca. 20 m w of lighthouse on arch pt"	"94d74776-552a-4d51-94ca-b2c682e9fc88"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island."	"97e7d1be-1d2d-463a-a3b9-2476463a0031"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island. cliff canyon."	"aed7fcc1-823c-4bac-9cb8-43eb8e29b961"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: due n of north pk"	"c12f6c7b-821b-44ec-83ca-ddeebd490d77"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island; cliff canyon"	"c4dcfefb-1fc7-48a1-b0bd-4b493a878177"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: w of arch pt on n side of island"	"cbc67cdf-725a-4a20-85f8-48cbfbf6f0dc"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: cliff cyn"	"d352d4b2-ad77-41dd-ba35-c1756af3c4a4"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island: sutil island"	"dc4342eb-4cd3-49e1-b063-86ced08b9a26"	18
"amaranthaceae"	"atriplex"	"semibaccata"	"california"	"santa barbara"	"santa barbara island channel islands, santa barbara island"	"e92b1017-2d50-496d-8a11-a0d777bd0cd8"	18
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island: just above landing platform, landing cove"	"0c3bc41b-6544-4c90-a1d8-00beeba23720"	6
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island: n slope of signal pk"	"1bacd816-2cbf-4359-8fdc-72dc2f762ddd"	6
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island: above landing cove"	"66b390e4-d92e-45be-aa0e-042ca7b178de"	6
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island. north slope of signal peak."	"66d80ca1-1f02-4ba7-9f93-6d1339a88163"	6
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island, grassy north-facing slope along path above landing cove."	"8c43eabd-eeca-4e3e-a645-e1ed4a26654b"	6
"poaceae"	"avena"	"barbata"	"california"	"santa barbara"	"santa barbara island. n-facing slope along path above landing cove"	"e630a2b4-64f9-45c7-9da9-4403e0c76656"	6
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: n edge of landing cove"	"393aea02-980a-4b12-99a2-f426c8e7967d"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island. west of landing area."	"46dbecca-d8be-44da-9394-3ed80dc8d38e"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: middle of cave cyn"	"4c2100c1-dfda-477f-b23a-b245a89bb678"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island. landing cove area."	"5588b4e2-833a-4b7d-8d0d-605be6d6957e"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: nature trail"	"7799c28e-3095-47a1-8aee-b80ed42176e1"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: n edge of landing cove"	"830fb3d8-660c-4c84-9aaf-04e1957ee0bf"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"afe81714-8a00-4da6-921f-1c75b4c99560"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island, middle of east-facing slope, landing cove area"	"b52fdc5f-61a4-4dac-adaa-e4811f9391b5"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"b74b6c81-bcc0-43c9-8db2-af4fa673fa3e"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island. landing canyon,"	"bd928dde-7292-4d82-8950-0e5cd651edda"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island, grassy north-facing slope along path above landing cove"	"cd3d6d68-39f7-4e63-98ea-2caf9c4b7ae8"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island. n-facing slope along path above landing cove"	"d6db9e1e-0601-43b6-91b9-3deacac32a51"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: landing cove"	"ec11b6e9-0239-4b43-aa9b-36380ad57465"	14
"poaceae"	"avena"	"fatua"	"california"	"santa barbara"	"santa barbara island: w of landing area"	"f01ff010-2f3f-412f-abbe-2d5f258c20a9"	14
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"santa barbara island: s edge of middle cyn just above point where cyn narrows"	"3b7cd3a5-4807-48a3-a544-fe88bb06ffcd"	6
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"santa barbara island; south edge of canyon bottom, lower one-third of middle canyon just above point where canyon narrows."	"5bf31e66-7d4c-48f4-8eb3-689c0f03855a"	6
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"santa barbara island: terrace nne of head of cat cyn"	"5dbdea64-65c0-499a-acdf-1f29f5df5a6b"	6
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"santa barbara island: terrace nne of head of cat cyn"	"63663e7c-ea2f-4c83-af94-eec966f38e91"	6
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"santa barbara island: triangulation pt &quot;north base&quot;, on e side of ridgeline, about 100 m n of saddle"	"efba216b-9049-4338-9602-3b7d1128801f"	6
"asteraceae"	"baccharis"	"pilularis"	"california"	"santa barbara"	"lower one-third of middle canyon just above point where canyon narrows, santa barbara island"	"f39674ad-c9a5-4774-b877-4e3098eebb4c"	6
"brassicaceae"	"brassica"	"nigra"	"california"	"santa barbara"	"santa barbara island: camp, landing cove"	"f985fe8e-24d2-4dcd-9a64-c9675ccf0e19"	1
